skill_name,skill_category
Data Engineer,Python Programming
Data Engineer,Cloud Infrastructure (Azure/AWS)
Data Engineer,ETL Pipelines & dbt
Data Engineer,Software Design Patterns
Data Analyst,Statistical Modeling
Data Analyst,Power BI/Tableau Dashboards
Data Analyst,SQL Optimization
Data Analyst,Business Intelligence
QA Engineer,Test Automation (Selenium)
QA Engineer,Performance Testing
QA Engineer,CI/CD Integration
QA Engineer,Software Quality Assurance
BI Developer,Power BI/Tableau Development
BI Developer,Data Modeling & DAX
BI Developer,Dashboard Architecture
BI Developer,Business Intelligence
Data Scientist,Statistical Modeling & ML
Data Scientist,Python & R Programming
Data Scientist,Predictive Analytics
Data Scientist,Data Science & AI
