2026-05-04 02:06:43  INFO      Loaded 10,000 records | 66 columns
2026-05-04 02:06:43  INFO      [PASS ✓] PK_UNIQUE                                timesheet_id: 0 duplicates.
2026-05-04 02:06:43  INFO      [PASS ✓] NO_TRUE_NULL                             employee_name: 0 true NULLs after COALESCE.
2026-05-04 02:06:43  INFO      [PASS ✓] NO_TRUE_NULL                             client_name: 0 true NULLs after COALESCE.
2026-05-04 02:06:43  INFO      [PASS ✓] NO_TRUE_NULL                             project_name: 0 true NULLs after COALESCE.
2026-05-04 02:06:43  INFO      [PASS ✓] NO_TRUE_NULL                             client_industry: 0 true NULLs after COALESCE.
2026-05-04 02:06:43  INFO      [PASS ✓] NO_TRUE_NULL                             designation: 0 true NULLs after COALESCE.
2026-05-04 02:06:43  INFO      [PASS ✓] NO_TRUE_NULL                             location_city: 0 true NULLs after COALESCE.
2026-05-04 02:06:43  INFO      [PASS ✓] NO_TRUE_NULL                             task_category: 0 true NULLs after COALESCE.
2026-05-04 02:06:43  INFO      [PASS ✓] NO_TRUE_NULL                             employee_name: 0 true NULLs after COALESCE.
2026-05-04 02:06:43  INFO      [PASS ✓] NULL_IMPUTATION                          employee_name: Verified presence of valid fallback 'ANONYMOUS'.
2026-05-04 02:06:43  INFO      [PASS ✓] NO_TRUE_NULL                             client_name: 0 true NULLs after COALESCE.
2026-05-04 02:06:43  INFO      [PASS ✓] NULL_IMPUTATION                          client_name: Verified presence of valid fallback 'INTERNAL'.
2026-05-04 02:06:43  INFO      [PASS ✓] NO_TRUE_NULL                             project_name: 0 true NULLs after COALESCE.
2026-05-04 02:06:43  INFO      [PASS ✓] NULL_IMPUTATION                          project_name: Verified presence of valid fallback 'BENCH'.
2026-05-04 02:06:43  INFO      [PASS ✓] NO_TRUE_NULL                             client_industry: 0 true NULLs after COALESCE.
2026-05-04 02:06:43  INFO      [PASS ✓] NULL_IMPUTATION                          client_industry: Verified presence of valid fallback 'UNKNOWN'.
2026-05-04 02:06:43  INFO      [PASS ✓] NO_TRUE_NULL                             designation: 0 true NULLs after COALESCE.
2026-05-04 02:06:43  INFO      [PASS ✓] NULL_IMPUTATION                          designation: Verified presence of valid fallback 'UNKNOWN'.
2026-05-04 02:06:43  INFO      [PASS ✓] NO_TRUE_NULL                             location_city: 0 true NULLs after COALESCE.
2026-05-04 02:06:43  INFO      [PASS ✓] NULL_IMPUTATION                          location_city: Verified presence of valid fallback 'UNKNOWN'.
2026-05-04 02:06:43  INFO      [PASS ✓] NO_TRUE_NULL                             task_category: 0 true NULLs after COALESCE.
